Row Type,Data,File Path
Last Row,"['1000', '1933', '1655', '1700', '21502', '22904', '26992']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-18\5000706\laser_wb_log_2D.csv
First Row,"['Date:', '20250421073601']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-21\5000699\laser_wb_log_2D.csv
Third Row,"['SERIAL:', '5000699']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-21\5000699\laser_wb_log_2D.csv
Last Row,"['1000', '1950', '1539', '1655', '21298', '22655', '26719']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-21\5000699\laser_wb_log_2D.csv
First Row,"['Date:', '20250421085751']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-21\5000707\laser_wb_log_2D.csv
Third Row,"['SERIAL:', '5000707']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-21\5000707\laser_wb_log_2D.csv
Last Row,"['1000', '1754', '1549', '1603', '21570', '22992', '27102']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-21\5000707\laser_wb_log_2D.csv
First Row,"['Date:', '20250421104428']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-21\5000708\laser_wb_log_2D.csv
Third Row,"['SERIAL:', '5000708']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-21\5000708\laser_wb_log_2D.csv
Last Row,"['1000', '1702', '1552', '1621', '21561', '22995', '27104']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-21\5000708\laser_wb_log_2D.csv
First Row,"['Date:', '20250421135852']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-21\5300015\laser_wb_log_2D.csv
Third Row,"['SERIAL:', '5300015']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-21\5300015\laser_wb_log_2D.csv
Last Row,"['1000', '1878', '1603', '1689', '21581', '22999', '27101']",C:/Users/Administrator/Desktop/test\laserWB\2025-04-21\5300015\laser_wb_log_2D.csv
